,Address,Location
281,"1003 N LEAVITT ST,Chicago,IL","(41.8996893, -87.6814153)"
282,"500 S CENTRAL AVE,Chicago,IL","(41.8737893, -87.76496130000001)"
283,"1231 S PULASKI RD,Chicago,IL","(41.865081, -87.7247639)"
284,"7832 S UNION AVE,Chicago,IL","(41.7513598, -87.6416157)"
285,"1845 W RICE ST,Chicago,IL","(41.896629, -87.6738079)"
286,"871 N WABASH AVE,Chicago,IL","(41.8985952, -87.6267053)"
287,"8150 S BISHOP ST,Chicago,IL","(41.7458533, -87.66016599999999)"
288,"4046 N LEAVITT ST,Chicago,IL","(41.9554175, -87.6839971)"
289,"1332 W 117TH ST,Chicago,IL","(41.6812613, -87.65545940000001)"
290,"1624 W 19TH ST,Chicago,IL","(41.8561772, -87.66726390000001)"
291,"6010 S THROOP ST,Chicago,IL","(41.784509, -87.6573787)"
292,"2510 S KILDARE AVE,Chicago,IL","(41.8454986, -87.7320658)"
293,"821 E 103RD ST,Chicago,IL","(41.7065428, -87.6025983)"
294,"5473 S CORNELL AVE,Chicago,IL","(41.7958793, -87.5854264)"
295,"1809 W 50TH ST,Chicago,IL","(41.802523, -87.67007269999999)"
296,"1111 N WELLS ST,Chicago,IL","(41.9026045, -87.634106)"
297,"2100 W 91ST ST,Chicago,IL","(41.7283392, -87.6746297)"
298,"44 W 15TH ST,Chicago,IL","(41.86191729999999, -87.6291188)"
299,"5058 W WEST END AVE,Chicago,IL","(41.88343, -87.75254799999999)"
300,"11030 S LONGWOOD DR,Chicago,IL","(41.69349829999999, -87.671672)"
301,"1726 W BERTEAU AVE,Chicago,IL","(41.9579923, -87.6718558)"
302,"2611 N LOCKWOOD AVE,Chicago,IL","(41.9281734, -87.7578479)"
303,"2245 W JACKSON BL,Chicago,IL","(41.876848, -87.6832325)"
304,"1516 S KARLOV AVE,Chicago,IL","(41.8600884, -87.72772909999999)"
305,"2040 W ADAMS ST,Chicago,IL","(41.87909250000001, -87.67842019999999)"
306,"2230 N DOMINICK ST,Chicago,IL","(41.92221019999999, -87.667361)"
307,"2230 W 108TH PL,Chicago,IL","(41.6966693, -87.677689)"
308,"1851 W CERMAK ROAD,Chicago,IL","(41.851826, -87.67294079999999)"
309,"2128 S ST LOUIS AVE,Chicago,IL","(41.852819, -87.7128551)"
310,"8521 S COMMERCIAL AVE,Chicago,IL","(41.7403293, -87.551096)"
311,"8324 S RACINE AVE,Chicago,IL","(41.7420731, -87.6535167)"
312,"10650 S EBERHART AVE,Chicago,IL","(41.7002756, -87.6116202)"
313,"4959 S ARCHER AVE,Chicago,IL","(41.8022402, -87.721707)"
314,"4959 S ARCHER AVE,Chicago,IL","(41.8022402, -87.721707)"
315,"32 E 115TH ST,Chicago,IL","(41.6857487, -87.622046)"
316,"5024 S WOLCOTT AVE,Chicago,IL","(41.80240149999999, -87.6724481)"
317,"3116 W BELDEN AVE,Chicago,IL","(41.9235103, -87.7053037)"
318,"3014 W 39TH PL,Chicago,IL","(41.8222433, -87.7003271)"
319,"5427 W DIVISION ST,Chicago,IL","(41.9019434, -87.7621073)"
320,"4430 S MARSHFIELD AVE,Chicago,IL","(41.8132366, -87.6668854)"
321,"6730 S PAULINA ST,Chicago,IL","(41.771165, -87.666045)"
322,"8040 S DAMEN AVE,Chicago,IL","(41.7473168, -87.6730596)"
323,"3810 W 81ST PL,Chicago,IL","(41.7455946, -87.71863139999999)"
324,"800 S WELLS ST,Chicago,IL","(41.8714475, -87.634244)"
325,"1550 S STATE ST,Chicago,IL","(41.8604169, -87.6279242)"
326,"1313 N CLAREMONT AVE,Chicago,IL","(41.9057847, -87.6855288)"
327,"16 E 35TH ST,Chicago,IL","(41.8310164, -87.62572139999999)"
328,"139 S PARKSIDE AVE,Chicago,IL","(41.8781592, -87.7656299)"
329,"1356 N DEAN ST,Chicago,IL","(41.9070952, -87.67072429999999)"
330,"865 S PARK TER,Chicago,IL","(41.8704072, -87.6295464)"
331,"1126 E 80TH ST,Chicago,IL","(41.7496558, -87.5963147)"
332,"7030 N SACRAMENTO AVE,Chicago,IL","(42.0095099, -87.70490769999999)"
333,"4905 W WABANSIA AVE,Chicago,IL","(41.9114042, -87.7495842)"
334,"6056 N LANDERS AVE,Chicago,IL","(41.9909155, -87.75344899999999)"
335,"3937 W WILCOX ST,Chicago,IL","(41.8787797, -87.7248061)"
336,"6340 N LAKEWOOD AVE,Chicago,IL","(41.997559, -87.663337)"
337,"7240 S WABASH AVE,Chicago,IL","(41.762424, -87.624028)"
338,"2306 W MAYPOLE AVE,Chicago,IL","(41.8841724, -87.6849027)"
339,"3436 N OSCEOLA AVE,Chicago,IL","(41.9425567, -87.81359049999999)"
340,"5415 S UNION AVE,Chicago,IL","(41.7959436, -87.6423281)"
341,"4117 N LAVERGNE AVE,Chicago,IL","(41.955363, -87.7522539)"
342,"8601 W FOSTER AVE,Chicago,IL","(41.97317200000001, -87.8416002)"
343,"4140 N MARINE DR,Chicago,IL","(41.9567418, -87.64699139999999)"
344,"8306 S ST LAWRENCE AVE,Chicago,IL","(41.743127, -87.611012)"
345,"8931 S DAUPHIN AVE,Chicago,IL","(41.7320212, -87.6020322)"
346,"7521 S DOBSON AVE,Chicago,IL","(41.7578079, -87.59908949999999)"
347,"2651 W WASHINGTON BL,Chicago,IL","(41.8826702, -87.69291419999999)"
348,"2734 W POLK ST,Chicago,IL","(41.8710725, -87.69486839999999)"
349,"3620 S LITUANICA AVE,Chicago,IL","(41.8281504, -87.6478954)"
350,"3426 W 77TH ST,Chicago,IL","(41.7533701, -87.70813199999999)"
351,"535 E 35TH ST,Chicago,IL","(41.8306422, -87.6122838)"
352,"521 E 35TH ST,Chicago,IL","(41.8308964, -87.61344509999999)"
353,"6108 S NATOMA AVE,Chicago,IL","(41.7803131, -87.78784519999999)"
354,"9336 S KINGSTON AVE,Chicago,IL","(41.7249376, -87.5620095)"
355,"1401 S SACRAMENTO,Chicago,IL","(41.86323470000001, -87.7020481)"
356,"3200 S CALUMET AVE,Chicago,IL","(41.8359339, -87.6186606)"
357,"543 N WALLER AVE,Chicago,IL","(41.8903861, -87.7671483)"
358,"2722 S DR MARTIN LUTHER KING,Chicago,IL","(41.84373799999999, -87.617609)"
359,"6931 S DAMEN AVE,Chicago,IL","(41.7675481, -87.6736083)"
360,"1845 W CORTLAND ST,Chicago,IL","(41.9157206, -87.6744861)"
361,"7442 N ASHLAND BLVD,Chicago,IL","(42.0172513, -87.6703359)"
362,"330 E 133RD ST,Chicago,IL","(41.6540012, -87.61420729999999)"
363,"6311 S CALUMET AVE,Chicago,IL","(41.7796859, -87.616729)"
364,"6650 S ELLIS AVE,Chicago,IL","(41.774602, -87.60127299999999)"
365,"200 E 31ST ST,Chicago,IL","(41.8383559, -87.62188739999999)"
366,"3000 S DR MARTIN LUTHER KING,Chicago,IL","(41.84057139999999, -87.61797609999999)"
367,"4640 N MELVINA AVE,Chicago,IL","(41.965953, -87.782342)"
368,"10845 S UNION AVE,Chicago,IL","(41.6964204, -87.6397648)"
369,"8441 S KOLIN AVE,Chicago,IL","(41.7391468, -87.7300731)"
370,"8445 S KOLIN AVE,Chicago,IL","(41.73904700000001, -87.7298805)"
371,"421 W LOCUST ST,Chicago,IL","(41.8989138, -87.63948719999999)"
372,"4934 S WABASH AVE,Chicago,IL","(41.8046858, -87.6251595)"
373,"1119 W CULLERTON ST,Chicago,IL","(41.855021, -87.6539074)"
374,"3615 W 16TH ST,Chicago,IL","(41.85858289999999, -87.7157865)"
375,"555 E 51ST ST,Chicago,IL","(41.8013958, -87.61238639999999)"
376,"1710 E 93RD ST,Chicago,IL","(41.7264906, -87.5828207)"
377,"6121 S HERMITAGE AVE,Chicago,IL","(41.7824613, -87.667909)"
378,"3400 W 65TH PL,Chicago,IL","(41.774628, -87.70833510000001)"
379,"7350 W PRATT AVE,Chicago,IL","(42.0046525, -87.8108201)"
380,"2430 E 82ND ST,Chicago,IL","(41.7462811, -87.5650344)"
381,"1330 W CHICAGO AVE,Chicago,IL","(41.8966966, -87.66140709999999)"
382,"6525 N HIAWATHA AVE,Chicago,IL","(41.9994428, -87.76183530000002)"
383,"6525 N HIAWATHA AVE,Chicago,IL","(41.9994428, -87.76183530000002)"
384,"6220 N OLCOTT AVE,Chicago,IL","(41.9942041, -87.81378470000001)"
385,"6755 N NORTHWEST HWY,Chicago,IL","(42.0040475, -87.8175957)"
386,"711 W 60TH PL,Chicago,IL","(41.784231, -87.6430642)"
387,"12900 S HALSTED ST,Chicago,IL","(41.659438, -87.64166999999999)"
388,"5165 S STATE ST,Chicago,IL","(41.8000925, -87.625787)"
389,"4815 S KARLOV AVE,Chicago,IL","(41.8053759, -87.72553649999999)"
390,"224 N CENTRAL AVE,Chicago,IL","(41.8849719, -87.7650286)"
391,"600 E 37TH ST,Chicago,IL","(41.8275296, -87.61162639999999)"
392,"5215 S WOODLAWN AVE,Chicago,IL","(41.8004125, -87.59666800000001)"
393,"3461 N TROY ST,Chicago,IL","(41.9444386, -87.706524)"
394,"5600 S EMERALD AVE,Chicago,IL","(41.792251, -87.6442469)"
395,"8301 S DAMEN AVE,Chicago,IL","(41.7421561, -87.6725764)"
396,"1820 W GRANVILLE AVE,Chicago,IL","(41.9948698, -87.6770939)"
397,"5500 W MADISON ST,Chicago,IL","(41.8809312, -87.7640378)"
398,"6201 S STEWART AVE,Chicago,IL","(41.7820213, -87.6342184)"
399,"4223 W 25TH ST,Chicago,IL","(41.8457328, -87.7302289)"
400,"2230 W CORTLAND ST,Chicago,IL","(41.9161135, -87.6831924)"
401,"3600 W FIFTH AVE,Chicago,IL","(41.87607939999999, -87.71646849999999)"
402,"1405 N WASHTENAW AVE,Chicago,IL","(41.9069483, -87.6941154)"
403,"710 W 61ST PL,Chicago,IL","(41.782774, -87.6430759)"
404,"1865 W MONTVALE AVE,Chicago,IL","(41.689107, -87.669517)"
405,"520 N MARSHFIELD STREET,Chicago,IL","(41.8914182, -87.6688319)"
406,"7687 S SOUTH CHICAGO AVE,Chicago,IL","(41.7549485, -87.5900638)"
407,"9800 S PARNELL AVE,Chicago,IL","(41.7157214, -87.6375936)"
408,"1707 N LA SALLE ST,Chicago,IL","(41.9132237, -87.6332098)"
409,"9130 S VINCENNES AVE,Chicago,IL","(41.7281366, -87.64854489999999)"
410,"3419 S BELL AVE,Chicago,IL","(41.83173910000001, -87.68109489999999)"
411,"3537 S PAULINA ST,Chicago,IL","(41.8290346, -87.66755839999999)"
412,"631 W BELMONT AVE,Chicago,IL","(41.93986779999999, -87.6456551)"
413,"9811 S LOWE AVE,Chicago,IL","(41.7156457, -87.63896930000001)"
414,"9814 S EWING AVE,Chicago,IL","(41.7172417, -87.5352767)"
415,"7946 S ASHLAND AVE,Chicago,IL","(41.7490917, -87.6637731)"
416,"6201 S FAIRFIELD AVE,Chicago,IL","(41.7806058, -87.69160629999999)"
417,"3020 N LAMON AVE,Chicago,IL","(41.9355906, -87.7506105)"
418,"3250 W MONROE ST,Chicago,IL","(41.8798883, -87.7082623)"
419,"5414 N LINDER AVE,Chicago,IL","(41.9802178, -87.76656679999999)"
420,"2345 S CHRISTIANA AVE,Chicago,IL","(41.8493374, -87.7083014)"
421,"1750 E 78TH ST,Chicago,IL","(41.7535399, -87.5813204)"
422,"2012 W BELMONT AVE,Chicago,IL","(41.939563, -87.67915939999999)"
423,"11220 S WALLACE ST,Chicago,IL","(41.6896803, -87.63835449999999)"
424,"1415 E 70TH ST,Chicago,IL","(41.7673044, -87.5902468)"
425,"10436 S WALLACE ST,Chicago,IL","(41.7042165, -87.6383391)"
426,"10041 S UNION AVE,Chicago,IL","(41.7110227, -87.6402505)"
427,"9501 S EGGLESTON AVE,Chicago,IL","(41.7215108, -87.63395969999999)"
428,"7019 N ASHLAND BL,Chicago,IL","(42.00962810000001, -87.6694199)"
429,"5100 N RIDGEWAY AVE,Chicago,IL","(41.9739865, -87.7223829)"
430,"1822 W LARCHMONT AVE,Chicago,IL","(41.953537, -87.675045)"
431,"2332 S WESTERN AVE,Chicago,IL","(41.8494453, -87.6869415)"
432,"6145 S INGLESIDE AVE,Chicago,IL","(41.7828402, -87.60273699999999)"
433,"2554 W MOFFAT ST,Chicago,IL","(41.9148126, -87.69190929999999)"
434,"6600 S WOODLAWN AVE,Chicago,IL","(41.7750194, -87.59606149999999)"
435,"3235 N LECLAIRE AVE,Chicago,IL","(41.9397716, -87.7527327)"
436,"5073 W BERWYN AVE,Chicago,IL","(41.977859, -87.7540999)"
437,"9025 S THROOP ST,Chicago,IL","(41.7299219, -87.65497289999999)"
438,"1313 S THROOP ST,Chicago,IL","(41.864722, -87.6588229)"
439,"1400 W 84TH ST,Chicago,IL","(41.7413927, -87.6583636)"
440,"8530 S WOOD ST,Chicago,IL","(41.7386327, -87.6685596)"
441,"751 N STATE ST,Chicago,IL","(41.8964647, -87.62761069999999)"
442,"330 W WEBSTER AVE,Chicago,IL","(41.92319519999999, -87.6384928)"
443,"328 W 69TH ST,Chicago,IL","(41.7692969, -87.6337463)"
444,"1449 S KOLIN AVE,Chicago,IL","(41.861171, -87.7335878)"
445,"225 W EVERGREEN AVE,Chicago,IL","(41.9060674, -87.6359593)"
446,"4027 W GRENSHAW ST,Chicago,IL","(41.8668215, -87.7262167)"
447,"1409 N OGDEN AVE,Chicago,IL","(41.907126, -87.6461697)"
448,"4214 S ST LAWRENCE AVE,Chicago,IL","(41.8180574, -87.61232790000001)"
449,"331 W 45TH ST,Chicago,IL","(41.8122536, -87.63460839999999)"
450,"5300 S HERMITAGE AVE,Chicago,IL","(41.7971263, -87.6687067)"
451,"2010 N CENTRAL PARK AVE,Chicago,IL","(41.9177477, -87.7171339)"
452,"2415 W 55TH ST,Chicago,IL","(41.7938644, -87.68454709999999)"
453,"5630 S ROCKWELL ST,Chicago,IL","(41.7910307, -87.6897308)"
454,"7631 N ASHLAND AVE,Chicago,IL","(42.020606, -87.6707064)"
455,"1631 W JONQUIL TER,Chicago,IL","(42.0206137, -87.6713468)"
456,"5729 W BLOOMINGDALE AVE,Chicago,IL","(41.9124286, -87.76898550000001)"
457,"820 S CARPENTER ST,Chicago,IL","(41.871056, -87.65372740000001)"
458,"10347 S EWING AVE,Chicago,IL","(41.7068834, -87.5349293)"
459,"1035 W 117TH ST,Chicago,IL","(41.6813598, -87.6482073)"
460,"100 N CENTRAL PARK DR,Chicago,IL","(41.8814165, -87.715873)"
461,"220 WEST 45TH PLACE,Chicago,IL","(41.8118355, -87.6321122)"
462,"1520 W POLK ST,Chicago,IL","(41.8716496, -87.6652757)"
463,"10309 S MORGAN ST,Chicago,IL","(41.7065861, -87.6471333)"
464,"5225 N OAK PARK AVE,Chicago,IL","(41.9760619, -87.7958862)"
465,"3740 W 31ST ST,Chicago,IL","(41.83787969999999, -87.7187629)"
466,"810 E 103RD ST,Chicago,IL","(41.7082497, -87.6031819)"
467,"4925 N LINCOLN,Chicago,IL","(41.971689, -87.69017730000002)"
468,"800 W BUENA AVE,Chicago,IL","(41.9587256, -87.65024849999999)"
469,"7831 S LAWNDALE AVE,Chicago,IL","(41.7505657, -87.71335619999999)"
470,"3611 E 114TH ST,Chicago,IL","(41.687708, -87.5359574)"
471,"825 W SHERIDAN RD,Chicago,IL","(41.952355, -87.6505937)"
472,"9301 S STATE ST,Chicago,IL","(41.7252002, -87.6231245)"
473,"3432 W 15TH ST,Chicago,IL","(41.8608428, -87.7116411)"
474,"5421 N MENARD AVE,Chicago,IL","(41.9791707, -87.7730539)"
475,"1231 S DAMEN AVE,Chicago,IL","(41.8653843, -87.67574019999999)"
476,"3307 W GLADYS AVE,Chicago,IL","(41.87621120000001, -87.70873689999999)"
477,"4647 W 47TH ST,Chicago,IL","(41.8074018, -87.7401728)"
478,"5259 S MAJOR AVE,Chicago,IL","(41.7966195, -87.76458799999999)"
479,"2236 N ROCKWELL ST,Chicago,IL","(41.922683, -87.6932528)"
480,"7053 N GLENWOOD AVE,Chicago,IL","(42.0109824, -87.66586699999999)"
481,"4257 W ADAMS ST,Chicago,IL","(41.8775566, -87.7319598)"
482,"500 E 130TH ST,Chicago,IL","(41.65912609999999, -87.60969659999999)"
483,"12302 S STATE ST,Chicago,IL","(41.6705466, -87.62318929999999)"
484,"4222 W FOSTER AVE,Chicago,IL","(41.9762899, -87.7366662)"
485,"2040 W 62ND ST,Chicago,IL","(41.7816454, -87.6756705)"
486,"4648 N MALDEN ST,Chicago,IL","(41.966724, -87.66300100000001)"
487,"3633 N CALIFORNIA AVE,Chicago,IL","(41.9480946, -87.6973069)"
488,"1255 N ASTOR ST,Chicago,IL","(41.9052359, -87.6271677)"
489,"5120 N WINTHROP AVE,Chicago,IL","(41.9757851, -87.6582002)"
490,"2725 N LARAMIE AVE,Chicago,IL","(41.9303398, -87.7560436)"
491,"4106 W 28TH ST,Chicago,IL","(41.8407426, -87.72709610000001)"
492,"4436 S UNION AVE,Chicago,IL","(41.8134222, -87.6432306)"
493,"2347 S WABASH AVE,Chicago,IL","(41.8495905, -87.625416)"
494,"3531 W GRAND AVE,Chicago,IL","(41.901576, -87.7148699)"
495,"7655 S INGLESIDE AVE,Chicago,IL","(41.7556929, -87.6012188)"
496,"5445 N CHESTER ST,Chicago,IL","(41.978035, -87.83906089999999)"
497,"145 S CAMPBELL AVE,Chicago,IL","(41.8791604, -87.6882174)"
498,"2850 W AVONDALE AVE,Chicago,IL","(41.9370397, -87.7051199)"
499,"1518 W 102ND PL,Chicago,IL","(41.7074349, -87.66044509999999)"
500,"3730 N LARAMIE AVE,Chicago,IL","(41.9490944, -87.75741289999999)"
501,"832 W SHERIDAN RD,Chicago,IL","(41.9531958, -87.6507632)"
502,"6500 N ALGONQUIN AVE,Chicago,IL","(41.9991496, -87.7660485)"
503,"2650 W PETERSON AVE,Chicago,IL","(41.9906437, -87.6962041)"
504,"1150 W 96TH ST,Chicago,IL","(41.7195222, -87.65239419999999)"
505,"1729 N KILDARE AVE,Chicago,IL","(41.9116005, -87.73370179999999)"
506,"3525 S HONORE ST,Chicago,IL","(41.8296803, -87.6712481)"
507,"3625 S HOYNE AVE,Chicago,IL","(41.8278556, -87.6776525)"
508,"3715 W POLK ST,Chicago,IL","(41.8703954, -87.71853519999999)"
509,"8524 S GREEN ST,Chicago,IL","(41.7387531, -87.6453401)"
510,"5450 W 64TH PL,Chicago,IL","(41.7756473, -87.7584057)"
511,"12810 S ESCANABA AVE,Chicago,IL","(41.662351, -87.55353749999999)"
512,"2708 W LAWRENCE AVE,Chicago,IL","(41.9687002, -87.6966492)"
513,"7141 S MORGAN ST,Chicago,IL","(41.7636438, -87.6489991)"
514,"4420 S SACRAMENTO AVE,Chicago,IL","(41.8132768, -87.69924379999999)"
515,"2402 N WASHTENAW AVE,Chicago,IL","(41.9251779, -87.6952498)"
516,"247 W 23RD PL,Chicago,IL","(41.84976150000001, -87.6339015)"
517,"6140 S MELVINA AVE,Chicago,IL","(41.7804544, -87.7769521)"
518,"6140 S MELVINA AVE,Chicago,IL","(41.7804544, -87.7769521)"
519,"4930 S COTTAGE GROVE AVE,Chicago,IL","(41.8049928, -87.6071644)"
520,"11411 S EGGLESTON AVE,Chicago,IL","(41.6863684, -87.63340769999999)"
521,"513 W 72ND ST,Chicago,IL","(41.7628279, -87.63769239999999)"
522,"1650 W CORNELIA AVE,Chicago,IL","(41.9454775, -87.6706494)"
523,"3035 N HOYNE AVE,Chicago,IL","(41.9370863, -87.6805212)"
524,"4747 S BISHOP ST,Chicago,IL","(41.8072923, -87.6609932)"
525,"2819 W 21ST PL,Chicago,IL","(41.8525332, -87.6958882)"
526,"3434 W 77TH ST,Chicago,IL","(41.75377640000001, -87.7089941)"
527,"4034 W 56TH ST,Chicago,IL","(41.7919803, -87.72493779999999)"
528,"3021 W DEVON AVE,Chicago,IL","(41.9970869, -87.70534610000001)"
529,"5635 S INDIANA AVE,Chicago,IL","(41.7920273, -87.6207767)"
530,"5411 W FULLERTON AVE,Chicago,IL","(41.92332510000001, -87.7621296)"
531,"3921 W DIVISION ST,Chicago,IL","(41.9026929, -87.72489)"
532,"4912 S CALUMET AVE,Chicago,IL","(41.8050726, -87.61805389999999)"
533,"9652 S MICHIGAN AVE,Chicago,IL","(41.7181944, -87.62127720000001)"
534,"6520 S WOOD ST,Chicago,IL","(41.7749901, -87.6695661)"
535,"6701 S LOWE AVE,Chicago,IL","(41.772516, -87.64029699999999)"
536,"6200 S DREXEL AVE,Chicago,IL","(41.7819343, -87.604879)"
537,"1824 S WOOD ST,Chicago,IL","(41.8569085, -87.671916)"
538,"4464 S OAKENWALD AVE,Chicago,IL","(41.8140265, -87.5953297)"
539,"1556 E 56TH ST,Chicago,IL","(41.793697, -87.5867468)"
540,"7525 S HARVARD AVE,Chicago,IL","(41.7576032, -87.6323572)"
541,"4540 N HAMLIN AVE,Chicago,IL","(41.9637367, -87.72362799999999)"
542,"3729 W LELAND ST,Chicago,IL","(41.9661979, -87.7218245)"
543,"3319 N CLIFTON AVE,Chicago,IL","(41.9422972, -87.65751519999999)"
544,"1018 N LARAMIE AVE,Chicago,IL","(41.8994959, -87.7562501)"
545,"2936 W 85TH ST,Chicago,IL","(41.7390058, -87.697062)"
546,"1518 W GRANVILLE AVE,Chicago,IL","(41.9947363, -87.66849959999999)"
547,"5949 W HURON ST,Chicago,IL","(41.892661, -87.7741006)"
548,"3010 S PARNELL AVE,Chicago,IL","(41.8392179, -87.64083889999999)"
549,"4640 S LAMON AVE,Chicago,IL","(41.80856259999999, -87.7461579)"
550,"4735 S WINCHESTER AVE,Chicago,IL","(41.8076877, -87.6734511)"
551,"1954 W 48TH ST,Chicago,IL","(41.8069588, -87.67365300000002)"
552,"4409 W WILCOX ST,Chicago,IL","(41.8783168, -87.736047)"
553,"5650 S WOLCOTT AVE,Chicago,IL","(41.7907609, -87.67241890000001)"
554,"4316 S PRINCETON AVE,Chicago,IL","(41.8159706, -87.6338782)"
555,"4250 N ST LOUIS AVE,Chicago,IL","(41.9586697, -87.71592419999999)"
556,"931 S HOMAN AVE,Chicago,IL","(41.8692274, -87.710009)"
557,"1326 S AVERS AVE,Chicago,IL","(41.8636018, -87.72180999999999)"
558,"2131 W MONROE ST,Chicago,IL","(41.8796875, -87.6806019)"
559,"610_30 W ADAMS ST,Chicago,IL","(41.8796139, -87.64317299999999)"
560,"5839 S WOOD ST,Chicago,IL","(41.7872259, -87.668464)"
561,"2240 N KILBOURN AVE,Chicago,IL","(41.9220571, -87.7395626)"
562,"3510 W 55TH ST,Chicago,IL","(41.7938358, -87.7119563)"
